rank,ticker,sector,score,grade,price,mktcap,eps_g,rev_g,roe,roic,n_ratio,p3m,p1m,pe,beta
1,VRT,Electronic Technology,100.0,A+,258.88,99047096429.0,164.9,27.7,41.8,21.2,93.5,49.4,11.0,75.9,-0.44
2,WDC,Electronic Technology,100.0,A+,272.29,92316641768.99998,137.6,-31.2,41.3,26.7,87.9,47.7,-1.0,27.3,2.21
3,LNG,Industrial Services,100.0,A+,252.27,53027885502.0,70.8,24.4,78.2,16.6,97.3,31.2,14.7,10.4,0.6
4,FIX,Industrial Services,100.0,A+,1365.34,48025790588.99999,97.8,29.5,49.2,42.0,91.0,35.0,3.9,47.3,1.68
5,UI,Electronic Technology,100.0,A+,759.84,45986121674.0,99.5,38.2,136.1,100.0,94.6,31.2,4.4,51.8,1.65
6,MSI,Electronic Technology,99.0,A+,473.12,78376540339.0,38.4,8.0,104.7,22.6,96.1,28.0,12.8,37.1,0.45
7,MU,Electronic Technology,98.0,A+,426.13,479613273850.00006,203.8,45.4,22.6,18.1,93.6,66.7,7.8,40.5,2.39
8,CF,Process Industries,98.0,A+,129.57,19910870553.0,32.9,19.3,29.6,17.6,94.3,63.3,33.7,14.4,-0.04
9,JNJ,Health Technology,95.0,A+,241.52,582038798851.0001,90.5,6.0,35.0,23.7,96.0,14.9,0.9,21.9,0.15
10,GEV,Producer Manufacturing,95.0,A+,805.02,216976627237.99997,216.2,8.9,47.1,43.5,90.0,15.4,-2.2,45.3,1.33
11,KEYS,Electronic Technology,95.0,A+,279.78,47982969924.0,58.6,13.1,17.2,12.2,88.3,31.2,18.6,50.5,1.47
12,TPL,Miscellaneous,93.0,A+,531.13,36616926430.0,6.1,13.1,37.2,36.9,97.1,78.0,30.2,76.2,1.07
13,WWD,Producer Manufacturing,93.0,A+,356.8,21270940836.999996,32.8,14.5,20.4,16.9,88.5,20.2,-8.9,44.9,1.32
14,GILD,Health Technology,92.0,A+,144.99,179993569786.99997,1747.5,2.5,40.5,18.9,92.2,18.0,-2.6,21.4,0.2
15,AMAT,Producer Manufacturing,91.0,A+,341.53,271041575637.99997,27.7,2.2,38.9,29.6,86.3,27.8,1.1,35.0,1.67
16,LRCX,Producer Manufacturing,91.0,A+,212.2,264989201560.00003,48.3,26.8,65.6,45.8,82.7,27.2,-9.9,43.5,2.25
17,PSX,Energy Minerals,91.0,A+,172.74,69224523965.99998,119.7,-7.6,15.6,9.2,96.8,20.2,8.3,15.9,1.11
18,MPC,Energy Minerals,91.0,A+,226.18,66664323345.0,34.1,-4.3,23.1,8.8,95.8,20.4,9.5,17.0,0.96
19,EME,Industrial Services,91.0,A+,709.91,31614112783.000004,31.4,16.6,38.5,35.1,85.0,10.7,-11.3,25.1,1.3
20,MTZ,Industrial Services,91.0,A+,290.0,22879500351.0,146.9,16.2,12.9,7.3,93.4,24.9,8.3,57.2,1.41
21,FTI,Industrial Services,90.0,A+,63.03,25214832860.999996,20.4,9.4,29.9,21.6,92.3,34.8,3.5,27.3,1.13
22,AMGN,Health Technology,89.0,A+,366.21,197411973412.00003,88.6,10.6,106.1,12.6,93.6,15.4,0.3,25.7,0.37
23,VG,Industrial Services,89.0,A+,13.1,32186311903.0,51.8,176.9,41.9,7.0,67.2,113.0,43.0,14.2,0.92
24,CRS,Non-Energy Minerals,89.0,A+,361.28,17995255249.999996,62.5,2.3,23.5,17.1,87.6,12.0,-1.0,42.0,1.75
25,CIEN,Electronic Technology,87.0,A,337.38,47705000385.99999,191.7,26.5,8.2,5.3,92.2,43.0,9.8,214.3,1.5
26,CTRA,Energy Minerals,87.0,A,32.15,24410618627.0,49.5,33.6,12.3,9.7,98.4,20.7,4.0,14.3,0.38
27,HWM,Electronic Technology,86.0,A,236.75,94922560028.0,32.1,11.1,30.4,18.5,88.6,19.5,3.2,63.7,1.34
28,AU,Non-Energy Minerals,86.0,A,94.89,47908769934.0,5513.9,118.3,35.8,27.9,73.5,9.5,-14.8,18.3,0.85
29,KLAC,Electronic Technology,85.0,A,1418.64,185950530143.99997,44.8,17.6,100.7,43.1,83.8,15.3,-3.4,41.2,1.94
30,T,Communications,84.0,A,27.72,194055993748.0,104.4,2.7,20.4,8.8,93.1,13.7,1.6,9.1,0.23
31,CCEP,Consumer Non-Durables,84.0,A,100.46,45126451933.0,44.9,6.8,24.4,10.9,90.6,12.5,4.3,20.8,0.22
32,EQT,Energy Minerals,83.0,A,64.37,40184518246.00001,706.3,60.0,9.2,6.7,98.5,14.4,14.9,19.4,0.49
33,CHRW,Transportation,82.0,A,169.39,20093183057.999996,25.4,-8.4,32.9,19.2,83.3,5.7,-14.3,35.0,1.04
34,USFD,Distribution Services,81.0,A,94.63,20869883783.0,45.9,4.1,15.3,7.0,92.7,23.0,4.1,32.2,0.46
35,SCCO,Non-Energy Minerals,80.0,A,170.83,139927382088.00003,26.7,17.4,42.9,25.5,76.3,15.6,-16.4,32.9,1.68
36,GLW,Electronic Technology,80.0,A,129.12,110778257079.99998,215.0,19.1,14.2,8.3,79.7,35.3,-1.7,70.2,1.15
37,WMB,Industrial Services,80.0,A,73.34,89589434039.99998,17.5,9.8,20.7,6.7,95.4,21.2,5.1,34.4,0.3
38,JBS,Consumer Non-Durables,80.0,A,15.08,16113113692.999998,119.5,,24.2,8.3,83.7,6.3,-7.7,9.9,0.22
39,KO,Consumer Non-Durables,78.0,A,77.34,332617912248.0,23.5,3.5,46.0,18.2,94.3,11.9,0.6,25.5,0.13
40,JCI,Producer Manufacturing,78.0,A,130.16,79666533901.99998,103.0,-6.4,13.1,8.1,88.9,12.2,-6.1,24.5,1.09
41,MNST,Consumer Non-Durables,78.0,A,77.11,75434458280.0,30.5,10.7,26.8,26.0,88.2,5.7,-3.9,39.8,0.35
42,NEM,Non-Energy Minerals,77.0,A,109.58,119209264232.99998,118.6,18.6,22.2,18.3,81.2,7.3,-12.3,17.2,0.78
43,STX,Electronic Technology,77.0,A,383.71,83676811637.0,61.8,25.2,,47.0,83.4,27.1,-6.3,43.4,1.94
44,GRMN,Electronic Technology,77.0,A,233.52,44948125401.99999,17.6,15.1,19.8,19.4,89.2,10.8,12.0,27.2,1.31
45,NXT,Electronic Technology,77.0,A,119.64,17763650045.0,3.1,30.0,33.3,31.7,90.9,28.1,-1.7,30.6,1.35
46,CASY,Retail Trade,76.0,A,660.87,24425114076.000004,21.4,9.2,17.9,10.0,94.9,21.7,0.7,37.9,0.37
47,OVV,Energy Minerals,76.0,A,55.33,15676952613.0,16.2,-3.1,11.5,7.6,99.1,34.9,16.4,11.3,0.87
48,PM,Consumer Non-Durables,75.0,A,174.66,271889658599.0,60.7,7.6,,34.0,91.3,15.7,-4.3,24.0,-0.01
49,MCK,Distribution Services,75.0,A,940.91,115249662957.0,59.3,15.5,,99.4,94.2,15.0,0.8,27.1,-0.02
50,BURL,Retail Trade,75.0,A,296.7,18670444511.0,22.2,8.8,38.4,9.1,89.3,8.7,-3.3,31.2,0.56
51,CMCSA,Consumer Services,74.0,B+,30.16,108511034399.0,29.6,-0.0,21.9,10.5,85.3,16.9,-6.6,5.6,0.49
52,CHD,Consumer Non-Durables,74.0,B+,97.75,23136860897.0,27.1,1.6,17.6,11.3,85.8,16.7,-0.9,32.5,0.09
53,HCA,Health Services,73.0,B+,532.97,119183921455.0,29.1,7.1,,18.1,95.8,10.3,6.4,18.8,0.29
54,DRI,Consumer Services,73.0,B+,202.37,23300729806.0,9.4,8.6,54.1,11.6,88.7,10.4,-3.9,21.2,0.54
55,TER,Electronic Technology,72.0,B+,286.42,44840758441.0,5.0,13.3,19.7,19.3,83.0,42.3,-8.3,82.2,1.51
56,GE,Electronic Technology,71.0,B+,299.69,314318949934.99994,36.3,0.1,45.2,22.7,86.0,3.0,-6.2,36.8,1.55
57,MRK,Health Technology,70.0,B+,115.61,285833251016.0,8.0,1.5,36.9,20.1,92.4,15.6,-4.8,15.9,0.72
58,EBAY,Retail Trade,70.0,B+,91.34,40920318359.0,9.4,8.1,40.8,18.0,90.3,8.0,4.4,21.0,0.47
59,CW,Electronic Technology,70.0,B+,656.02,24187149610.0,21.9,12.1,19.4,13.8,89.9,16.7,0.2,51.0,1.08
60,ATI,Non-Energy Minerals,70.0,B+,141.97,19440845904.999996,11.7,5.2,22.1,11.2,84.4,28.2,2.3,49.8,1.86
61,NVT,Electronic Technology,70.0,B+,109.93,17778919771.0,116.9,18.4,12.3,7.9,89.4,1.3,-5.6,25.7,1.47
62,BWXT,Electronic Technology,70.0,B+,194.13,17752234529.0,16.7,18.3,28.4,12.1,88.0,5.7,-4.4,54.2,1.22
63,LIN,Process Industries,69.0,B+,493.92,228879652218.0,7.2,3.0,18.1,12.1,96.7,21.4,7.7,33.8,0.31
64,KMI,Industrial Services,69.0,B+,33.39,74286284221.0,16.8,11.5,9.9,5.0,97.5,23.9,6.1,24.4,0.45
65,ROST,Retail Trade,69.0,B+,206.28,66720223126.0,4.6,7.7,36.7,21.5,95.1,12.0,6.5,31.2,0.4
66,RGLD,Non-Energy Minerals,69.0,B+,259.11,21975144901.000004,35.2,43.2,9.1,8.3,84.6,16.2,-9.7,38.0,0.41
67,MRNA,Health Technology,69.0,B+,52.56,20758016595.0,21.8,-39.9,-28.9,-26.2,88.3,78.4,39.8,,1.63
68,FFIV,Technology Services,69.0,B+,289.31,16351590401.0,20.2,8.8,20.8,19.5,83.6,9.4,1.7,23.9,0.77
69,MPLX,Industrial Services,68.0,B+,58.52,59409755203.0,14.4,6.2,35.0,13.6,97.8,7.4,5.4,12.1,0.51
70,RTX,Electronic Technology,67.0,B+,204.52,274524665208.0,39.7,9.7,10.7,6.7,95.3,14.0,4.6,41.2,0.86
71,DELL,Electronic Technology,67.0,B+,151.62,100476996063.0,40.2,19.1,,30.1,90.2,9.5,18.7,17.4,2.02
72,TT,Producer Manufacturing,67.0,B+,422.4,93490597087.00002,15.4,7.5,36.9,23.1,88.1,4.8,-9.8,32.5,0.99
73,FDX,Transportation,67.0,B+,351.68,82687990909.99998,15.6,3.1,15.9,7.0,89.5,23.0,-5.0,19.4,1.08
74,COR,Distribution Services,67.0,B+,349.95,68076015738.99999,18.3,7.4,152.3,20.8,92.7,1.4,-2.9,42.1,-0.02
75,FAST,Distribution Services,67.0,B+,45.46,52203012158.99999,9.2,8.7,33.3,30.8,89.8,8.0,-3.2,41.6,0.59
76,ANET,Electronic Technology,66.0,B+,133.57,167835768732.0,23.7,28.6,31.4,31.3,81.0,0.8,-8.0,48.5,2.09
77,PWR,Industrial Services,66.0,B+,559.02,83640248454.0,12.8,20.3,12.7,7.9,96.9,20.3,7.3,82.3,1.17
78,UTHR,Health Technology,66.0,B+,536.12,23496898970.0,13.4,10.6,19.7,19.7,97.8,9.2,13.0,19.2,0.26
79,COST,Retail Trade,65.0,B+,1008.43,447392514406.99994,12.3,8.4,29.7,23.1,94.5,14.2,3.6,52.4,0.23
80,NOC,Electronic Technology,65.0,B+,733.71,104129322896.0,2.7,2.2,26.2,12.8,94.8,30.3,7.5,25.1,0.13
81,HII,Electronic Technology,65.0,B+,415.71,16313577171.0,10.1,8.2,12.4,7.8,90.4,25.5,3.0,27.1,0.95
82,HUBB,Producer Manufacturing,64.0,B+,467.38,24846669812.0,16.0,3.8,25.1,16.5,87.6,1.6,-8.4,28.0,0.99
83,EXAS,Health Technology,64.0,B+,103.57,19770292277.0,80.1,17.7,-8.7,-4.2,99.8,2.1,0.1,,0.2
84,TXT,Electronic Technology,64.0,B+,91.05,15851704667.0,18.3,8.0,12.2,8.1,89.6,5.1,-5.5,17.8,1.24
85,CTVA,Process Industries,63.0,B+,79.21,53270624380.0,23.1,2.9,5.0,4.6,97.9,18.9,6.1,50.0,0.58
86,CAH,Distribution Services,63.0,B+,217.08,51082399778.0,29.7,10.1,,34.9,92.9,9.5,-1.8,31.2,0.41
87,INTC,Electronic Technology,62.0,B+,45.77,228621152287.0,98.1,-0.5,-0.3,-0.2,83.8,16.6,-4.9,,1.31
88,RBC,Producer Manufacturing,62.0,B+,536.37,16959462136.0,16.7,11.1,8.7,6.7,91.0,17.0,-2.8,63.1,0.75
89,PG,Consumer Non-Durables,60.0,B+,150.65,350110696155.0,7.5,1.1,31.6,21.2,86.2,6.8,-5.0,22.3,0.22
90,ADI,Electronic Technology,60.0,B+,306.07,149424651622.0,74.6,25.9,7.9,6.5,84.3,8.4,-7.2,55.9,1.8
91,TDY,Electronic Technology,60.0,B+,638.91,29584926355.999996,9.7,7.7,8.9,7.2,92.1,21.9,-3.3,33.8,0.86
92,CTAS,Commercial Services,58.0,B,194.28,77690560410.0,11.7,8.6,43.2,27.9,84.7,2.8,-2.6,42.0,0.62
93,CPAY,Commercial Services,58.0,B,317.53,21608011866.0,7.7,13.9,30.5,11.2,87.7,0.1,-11.2,21.1,1.23
94,FCX,Non-Energy Minerals,57.0,B,56.38,81029431135.0,16.8,-0.0,12.0,7.8,80.8,15.6,-13.4,37.2,2.0
95,ALB,Process Industries,57.0,B,158.22,18645787510.0,48.6,-4.4,-5.2,-3.9,76.8,16.3,-8.2,,1.8
96,WMT,Retail Trade,56.0,B,126.52,1008385501095.9999,13.4,4.7,23.0,14.7,93.9,9.8,-0.1,46.3,0.5
97,UNP,Transportation,56.0,B,242.44,143861816939.00003,8.1,1.1,40.4,14.7,90.4,2.8,-7.6,20.2,0.63
98,AME,Producer Manufacturing,56.0,B,214.49,49113321608.0,8.0,6.6,14.6,12.8,88.6,6.3,-5.8,33.5,0.93
99,YUMC,Consumer Services,56.0,B,52.7,18608182423.0,7.4,4.4,16.7,12.5,90.3,8.8,-7.5,21.1,0.36
100,LHX,Electronic Technology,54.0,B,358.96,67045204828.99999,8.3,2.5,8.2,5.2,94.7,22.7,4.0,42.1,0.43
101,FTNT,Technology Services,53.0,B,83.44,61739225654.0,7.4,14.2,135.7,86.2,76.3,1.8,-2.3,34.4,1.22
102,YUM,Consumer Services,53.0,B,160.4,44339388718.0,6.4,8.8,,30.4,94.7,7.7,1.3,28.9,0.35
103,KVUE,Consumer Non-Durables,53.0,B,17.49,33523645350.0,42.7,-2.2,14.4,8.5,69.5,0.5,-3.4,22.9,-0.02
104,DGX,Health Services,53.0,B,199.7,21940303319.0,13.8,11.8,14.2,7.7,93.5,9.6,-3.5,22.8,0.12
105,GD,Electronic Technology,48.0,B,351.52,95047398431.0,13.4,10.1,17.7,12.9,95.1,3.1,-2.7,22.7,0.72
106,WAB,Producer Manufacturing,48.0,B,236.76,40371646931.00001,13.2,7.5,11.0,7.9,88.9,8.3,-7.0,34.7,1.19
107,TXN,Electronic Technology,47.0,B,190.78,173698202316.00003,4.8,13.0,30.0,16.3,82.5,4.9,-14.5,35.0,1.13
108,ETN,Producer Manufacturing,47.0,B,355.4,137859655463.00003,10.0,10.3,21.6,14.5,87.0,1.8,-9.8,34.0,1.26
109,RSG,Industrial Services,46.0,B,224.28,69258776536.0,5.7,3.5,18.3,8.8,86.7,5.6,0.7,32.7,0.09
110,REGN,Health Technology,45.0,B,745.77,78829872244.0,8.6,1.0,14.9,13.6,90.8,0.6,-0.7,17.9,0.77
111,KTOS,Electronic Technology,44.0,C,87.53,16346904422.0,23.5,18.5,1.3,1.2,65.3,10.9,-8.7,665.1,1.84
112,OKE,Industrial Services,41.0,C,85.36,53758331073.0,4.6,55.0,17.2,6.7,82.4,15.4,1.6,15.8,0.7
113,ASTS,Communications,41.0,C,86.34,32984243793.0,32.4,1505.2,-29.5,-14.5,66.5,4.0,-14.3,,1.55
114,TMUS,Communications,40.0,C,217.39,239533951891.0,0.3,8.5,18.2,6.5,79.7,11.9,13.6,22.4,0.32
115,MAR,Consumer Services,40.0,C,313.81,83154803532.00002,14.1,4.3,,22.6,84.8,5.2,-12.5,33.0,1.01
116,MCD,Consumer Services,39.0,C,326.46,231916727612.99997,4.9,3.7,,17.2,95.5,5.1,0.9,27.3,0.23
117,BDX,Health Technology,31.0,C,159.36,45376456813.99999,1.7,6.2,7.0,4.1,85.1,1.2,-6.6,26.0,0.58
118,RKLB,Electronic Technology,22.0,C,68.41,38818944257.0,2.0,38.0,-18.8,-14.1,68.7,9.5,-6.5,,2.08
